Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Collection
cosrx,COSRX,"<p>Cult Korean skincare built on honest, single-hero ingredients — snail mucin, propolis and centella. Gentle formulas that repair the barrier and bring back glow, one layer at a time.</p>",COSRX,Serums,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
anua,Anua,"<p>Korean calm-skin specialists — heartleaf (houttuynia) toners and cleansing oils that soothe redness, clear pores and leave skin quietly balanced.</p>",Anua,Toners,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
beauty-of-joseon,Beauty of Joseon,"<p>Hanbang heritage meets modern K-beauty — rice water, ginseng and propolis in elegant formulas. Home of the glow serum and the sunscreen everyone talks about.</p>",Beauty of Joseon,Serums,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
skin1004,Skin1004 (Centella),"<p>Madagascar-grown centella asiatica in its purest form — ampoules and light creams that calm sensitive, stressed skin and rebuild a healthy barrier.</p>",Skin1004,Serums,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
mediheal,Mediheal,"<p>Korea's number-one sheet mask lab — dermatologist-grade masks for hydration, brightening and barrier repair. The ten-minute ritual your skin looks forward to.</p>",Mediheal,Masks,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
medicube,Medicube,"<p>Clinical K-beauty for texture and pores — collagen jelly creams and PDRN serums straight from Korea's derma-tech labs. Glass skin with visible results.</p>",Medicube,Moisturizers,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
torriden,Torriden,"<p>Minimalist Korean hydration — DIVE-IN low-molecular hyaluronic acid that sinks deep and plumps instantly. Clean, fragrance-free and endlessly repurchasable.</p>",Torriden,Serums,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
laneige,Laneige,"<p>Korean hydration icons — the Water Sleeping Mask and Lip Sleeping Mask that made overnight beauty a ritual. Wake up dewy, every day.</p>",Laneige,Moisturizers,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
some-by-mi,Some By Mi,"<p>The 30-day miracle routine — AHA·BHA·PHA formulas that clear breakouts and refine texture without stripping. K-beauty's problem-skin specialists.</p>",Some By Mi,Cleansers,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
round-lab,Round Lab,"<p>Korea's pharmacy favourite — Birch Juice moisturizers and the 1025 Dokdo line. Clean, calm hydration inspired by Korean nature.</p>",Round Lab,Toners,korean,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Korean Skincare
la-roche-posay,La Roche-Posay,"<p>French pharmacy skincare recommended by dermatologists worldwide — Effaclar for oily skin, Cicaplast for repair, Anthelios sun protection. Gentle science for sensitive skin.</p>",La Roche-Posay,Hydration,french,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,French Skincare
vichy,Vichy,"<p>French dermo-cosmetics powered by volcanic mineral water — Minéral 89 boosters and Liftactiv care that strengthen skin daily.</p>",Vichy,Hydration,french,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,French Skincare
